Giorno,Positivi,Guariti,Morti,NumeroGiorno
25,311,1,10,1
26,385,3,12,2
27,588,45,17,3
28,821,46,21,4
29,1049,50,29,5
1,1577,83,34,6
2,1835,149,52,7
3,2263,160,79,8
4,2706,276,107,9
5,3296,414,148,10
6,3916,523,197,11
7,5061,589,233,12
8,6387,622,366,13
9,7985,724,463,14
10,8514,1004,631,15
11,10590,1045,827,16
12,12839,1258,1016,17
13,14955,1439,1266,18
14,17750,1966,1441,19
15,20603,2335,1809,20
16,23073,2749,2158,21
17,26062,2941,2503,22
18,28710,4025,2978,23
19,33190,4440,3405,24
20,37860,5129,4032,25
21,42681,6072,4825,26
22,46638,7024,5475,27
23,50418,7432,6077,28
24,54030,8326,6820,29
25,57521,9362,7503,30
26,62013,10361,8165,31
27,66414,10950,9134,32
28,70065,12384,10023,33
29,73880,13030,10779,34
30,75528,14620,11591,35
31,77635,15729,12428,36
1,80572,16847,13155,37
2,83049,18278,13915,38
3,85388,19758,14681,39
4,88274,20996,15362,40
5,91246,21815,15887,41
6,93187,22837,16523,42
7,94067,24392,17127,43
8,95262,26491,17669,44
9,96877,28470,18279,45
10,98273,30455,18849,46
11,100269,32534,19468,47
12,102253,34211,19899,48
13,103616,35435,20465,49
14,104291,37130,21067,50
15,105418,38092,21645,51
16,106607,40164,22170,52
17,106962,42727,22745,53
18,107771,44927,23227,54
19,108257,47055,23660,55
20,108237,48877,24114,56
21,107709,51600,24648,57
22,107699,54543,25085,58
23,106848,57576,25549,59